Entity,Code,Year,Fossil fuels (% growth)
South and Central America (BP),,1995,4.596209526062012
South and Central America (BP),,1996,3.9520621299743652
South and Central America (BP),,1997,5.456435680389404
South and Central America (BP),,1998,4.48530912399292
South and Central America (BP),,1999,0.5866289138793945
South and Central America (BP),,2000,1.6029000282287598
South and Central America (BP),,2001,1.3314008712768555
South and Central America (BP),,2002,0.26694536209106445
South and Central America (BP),,2003,0.5492806434631348
South and Central America (BP),,2004,5.788183212280273
South and Central America (BP),,2005,2.262997627258301
South and Central America (BP),,2006,4.546380043029785
South and Central America (BP),,2007,4.720437526702881
South and Central America (BP),,2008,2.000594139099121
South and Central America (BP),,2009,-2.9933691024780273
South and Central America (BP),,2010,6.992101669311523
South and Central America (BP),,2011,3.8905858993530273
South and Central America (BP),,2012,4.336309432983398
South and Central America (BP),,2013,3.809666633605957
South and Central America (BP),,2014,1.2382149696350098
South and Central America (BP),,2015,-0.9956836700439453
South and Central America (BP),,2016,-3.1169772148132324
South and Central America (BP),,2017,-0.4183173179626465
South and Central America (BP),,2018,-3.3134758472442627
South and Central America (BP),,2019,-1.5914380550384521
South and Central America (BP),,2020,-10.849380493164062
South and Central America (BP),,2021,10.523581504821777
Spain,ESP,1966,7.882976531982422
Spain,ESP,1967,14.390600204467773
Spain,ESP,1968,4.679512977600098
Spain,ESP,1969,10.173999786376953
Spain,ESP,1970,11.703836441040039
Spain,ESP,1971,8.319128036499023
Spain,ESP,1972,6.283164024353027
Spain,ESP,1973,14.479267120361328
Spain,ESP,1974,3.64532470703125
Spain,ESP,1975,5.2230119705200195
Spain,ESP,1976,10.251045227050781
Spain,ESP,1977,-3.384566307067871
Spain,ESP,1978,-0.2483069896697998
Spain,ESP,1979,7.058513164520264
Spain,ESP,1980,7.99490213394165
Spain,ESP,1981,2.17742919921875
Spain,ESP,1982,-1.4154374599456787
Spain,ESP,1983,1.7049431800842285
Spain,ESP,1984,-4.201114177703857
Spain,ESP,1985,-2.7277469635009766
Spain,ESP,1986,0.9492635726928711
Spain,ESP,1987,2.798938751220703
Spain,ESP,1988,-0.8073985576629639
Spain,ESP,1989,10.360515594482422
Spain,ESP,1990,-1.4335393905639648
Spain,ESP,1991,3.4037113189697266
Spain,ESP,1992,8.817315101623535
Spain,ESP,1993,-5.792295932769775
Spain,ESP,1994,4.919946193695068
Spain,ESP,1995,6.204819679260254
Spain,ESP,1996,-0.5229651927947998
Spain,ESP,1997,8.667349815368652
Spain,ESP,1998,5.06746768951416
Spain,ESP,1999,6.354963779449463
Spain,ESP,2000,4.067897796630859
Spain,ESP,2001,2.2269248962402344
Spain,ESP,2002,4.929399490356445
Spain,ESP,2003,2.5210022926330566
Spain,ESP,2004,5.554759502410889
Spain,ESP,2005,3.871619701385498
Spain,ESP,2006,-0.5384385585784912
Spain,ESP,2007,2.5449514389038086
Spain,ESP,2008,-4.69057559967041
Spain,ESP,2009,-9.980255126953125
